,objectId,yearsLivedinThisHouse,waterAccess,typeofWaterdoyoudrink,latrineAccess,conditionoFloorinyourhouse,conditionoRoofinyourhouse,medicalproblemswheredoyougo,dentalproblemswheredoyougo,biggestproblemofcommunity,timesperweektrashcollected,wheretrashleftbetweenpickups,numberofIndividualsLivingintheHouse,numberofChildrenLivinginHouseUndertheAgeof5,houseownership,bathroomAccess
0,Psto9poSCx,1-2,,,,,,Other,Other,Other,0,other,4,0,,
1,y6DJO1kLFl,lessThan1,,,,,,Other,Other,Other,0,other,4,0,,
2,sdPbSYrGCW,5-10,2-3AWeek,bottled,Y,cementPoor,poor,Other Hospital,Other,Water,1-2,street,4,0,,
3,GiArohoFUo,moreThan10,2-3AWeek,tap,Y,cementWorking,,Other,Clinic,Other,3-5,other,4,0,,
4,rnNw8AxEix,moreThan10,4-6AWeek,bottled,Y,cementWorking,working,Other Hospital,Other,Water,1-2,other,4,0,,
5,YBLTPHNqsH,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Clinic,Other,Other,1-2,street,4,0,,
6,YBLTPHNqsH,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Clinic,Other,Other,1-2,street,4,0,,
7,YBLTPHNqsH,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Clinic,Other,Other,1-2,street,4,0,,
8,jTRfVVHAHN,lessThan1,Never,bottled,Y,cementPoor,poor,Other Hospital,Other,Water,Unknown,street,4,0,,
9,jTRfVVHAHN,lessThan1,Never,bottled,Y,cementPoor,poor,Other Hospital,Other,Water,Unknown,street,4,0,,
10,jTRfVVHAHN,lessThan1,Never,bottled,Y,cementPoor,poor,Other Hospital,Other,Water,Unknown,street,4,0,,
11,znX6B0Q8b5,lessThan1,2-3AWeek,bottled,Y,dirtWorking,working,Clinic,Other,Other,3-5,street,4,0,,
12,znX6B0Q8b5,lessThan1,2-3AWeek,bottled,Y,dirtWorking,working,Clinic,Other,Other,3-5,street,4,0,,
