,objectId,marriageStatus,occupation,educationLevel,latitude,longitude,city,province,age,sex
0,XHCkKebF4a,single,Ama de casa,lessThanprimary,18.91208702263949,-70.74380080917258,,,34.0,female
19,ITCa1BkIiK,single,Ama de casa,someHighSchool,18.913083589775805,-70.74410380221822,,,52.0,female
20,AKjkw9A25J,single,Other,someHighSchool,18.913084482791753,-70.74401579803856,,,39.0,male
21,jk3fDkMvN9,single,Ama de casa,lessThanprimary,18.91332513991217,-70.74455717794183,,,39.0,female
22,pPgDn3kfGL,single,Estudiante,someHighSchool,18.91352325690945,-70.74505279406372,,,23.0,male
23,4q6oatxcz1,concubine,Other,someHighSchool,18.913576835784053,-70.7453452517006,,,38.0,female
24,qZvpjfnqCv,single,Ama de casa,lessThanprimary,18.913576835784053,-70.7453452517006,,,55.0,female
25,uKH11pHXuK,concubine,Other,someHighSchool,18.913609273749326,-70.74556100188823,,,28.0,female
26,QBOv5QmSFN,concubine,Ama de casa,someHighSchool,18.91358634924415,-70.74560442014666,,,25.0,female
27,6eIUyA0tmn,concubine,Ama de casa,lessThanprimary,18.913637436943983,-70.74576535268756,,,36.0,female
28,fXiyRoFxGg,single,Other,someHighSchool,18.913642507995398,-70.74566351256402,,,49.0,female
29,UPlyWVy3zT,concubine,Other,highschool,18.913642507995398,-70.74566351256402,,,31.0,female
30,hzSNxPk32Y,married,Other,primary,18.913642507995398,-70.74566351256402,,,76.0,female
31,CJemO4Hq16,concubine,Ama de casa,someHighSchool,18.913957667554648,-70.74566653004915,,,22.0,female
32,1ri96rqxWb,concubine,Other,college,18.91386647244814,-70.74573073542746,,,28.0,female
33,KQcSlG2uh9,concubine,Ama de casa,lessThanprimary,18.91386647244814,-70.74573073542746,,,54.0,female
34,L2uxJoLOpT,concubine,Ama de casa,someHighSchool,18.914624489861463,-70.74594112119706,,,22.0,female
35,lLkC5HGPOC,widow,Ama de casa,lessThanprimary,18.91441565474394,-70.7456415519777,,,67.0,female
36,mgItcpA8X9,widow,Other,lessThanprimary,18.91441565474394,-70.7456415519777,,,59.0,female
37,pwvGN7EkXf,single,Ama de casa,lessThanprimary,18.914600655999333,-70.74608939841077,,,39.0,female
38,qLuHIgZTyF,concubine,Ama de casa,lessThanprimary,18.914917437377305,-70.74600951752694,,,61.0,female
39,KIWF2useqA,single,Ama de casa,lessThanprimary,18.91492506490919,-70.74611018418403,,,69.0,female
40,5muG85xKbW,married,Ama de casa,lessThanprimary,18.91493998469684,-70.74620607315632,,,36.0,female
41,EyC4jTmZQs,concubine,Ama de casa,primary,18.91506474932555,-70.7461291272852,,,27.0,female
42,NNEbU2yJrO,widow,Ama de casa,lessThanprimary,18.914543185400696,-70.7457303163323,,,72.0,female
43,BfYU4bkCi4,concubine,Other,lessThanprimary,18.914529355260466,-70.74569620198639,,,31.0,female
44,1AjbxP5q3f,married,Other,someHighSchool,18.914506807940928,-70.74568706571193,,,40.0,female
45,EYkviwwvUQ,single,Other,lessThanprimary,18.91454611906681,-70.7457171567443,,,45.0,female
46,QrSLA6LVGN,single,Other,someHighSchool,18.91476740131053,-70.74576417922111,,,22.0,male
47,lIJGir7umt,concubine,Other,primary,18.914681109617387,-70.74577951810393,,,37.0,male
48,MxnkIn3WD8,single,Other,someHighSchool,18.91458774030249,-70.74609982116228,,,45.0,female
49,D6RliPGLk8,concubine,Ama de casa,primary,18.914587941793645,-70.7460996585623,,,21.0,female
50,ggRj4eN9ux,single,Other,highschool,18.914588402329024,-70.74609928573109,,,31.0,female
51,KvO9PBFL7y,single,Other,lessThanprimary,18.91457962256856,-70.74610636281794,,,36.0,male
52,cGmsS8quZa,concubine,Ama de casa,lessThanprimary,18.91457560423496,-70.7461096066874,,,30.0,female
