,objectId,marriageStatus,occupation,educationLevel,latitude,longitude,age,sex,clustersByLoc,province,yearsLivedinThisHouse,waterAccess,typeofWaterdoyoudrink,latrineAccess,conditionoFloorinyourhouse,conditionoRoofinyourhouse,medicalproblemswheredoyougo,dentalproblemswheredoyougo,biggestproblemofcommunity,timesperweektrashcollected,wheretrashleftbetweenpickups,numberofIndividualsLivingintheHouse,numberofChildrenLivinginHouseUndertheAgeof5,houseownership,bathroomAccess
0,lLkC5HGPOC,widow,Ama de casa,lessThanprimary,18.91441565474394,-70.7456415519777,67.0,female,1,San Pedro de Macoris,1-2,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,other,1,0,rented,
1,gIoG2SAL99,widow,Other,lessThanprimary,18.91419571360472,-70.74628612033159,80.0,male,1,San Pedro de Macoris,moreThan10,1AWeek,bottled,Y,cementPoor,poor,Other Hospital,Dentist,Roads,1-2,other,5,0,owned,
2,GiArohoFUo,married,Other,college,18.9104736,-70.747658,41.0,female,1,San Pedro de Macoris,moreThan10,2-3AWeek,tap,Y,cementWorking,,Other,Clinic,Other,3-5,other,4,0,,
3,rnNw8AxEix,single,Ama de casa,primary,18.9104841,-70.74765009999999,40.0,female,1,San Pedro de Macoris,moreThan10,4-6AWeek,bottled,Y,cementWorking,working,Other Hospital,Other,Water,1-2,other,4,0,,
4,YBLTPHNqsH,concubine,Other,lessThanprimary,18.915163404325874,-70.74162561453015,59.0,male,1,San Pedro de Macoris,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Clinic,Other,Other,1-2,street,4,0,,
5,jTRfVVHAHN,single,Other,lessThanprimary,18.915447425114838,-70.74173416017624,70.0,male,1,San Pedro de Macoris,lessThan1,Never,bottled,Y,cementPoor,poor,Other Hospital,Other,Water,Unknown,street,4,0,,
6,znX6B0Q8b5,single,Ama de casa,college,18.91553656665507,-70.7418601401809,28.0,female,1,San Pedro de Macoris,lessThan1,2-3AWeek,bottled,Y,dirtWorking,working,Clinic,Other,Other,3-5,street,4,0,,
7,mr2QErRyOM,married,Other,someHighSchool,18.91573584640297,-70.74194806634517,41.0,male,1,San Pedro de Macoris,moreThan10,2-3AWeek,bottled,N,dirtWorking,working,Clinic,Other,Unemployment,1-2,street,4,0,,
8,TZLbc8HOO9,widow,Ama de casa,lessThanprimary,18.91589225271616,-70.74179727590713,94.0,female,1,San Pedro de Macoris,moreThan10,2-3AWeek,bottled,Y,dirtPoor,working,Other Hospital,Other,Other,1-2,street,4,0,,
9,0KnEhDX7mk,married,Ama de casa,lessThanprimary,18.91552182464666,-70.74113779658728,54.0,female,1,San Pedro de Macoris,3-4,2-3AWeek,bottled,Y,dirtWorking,working,Other Hospital,Other Hospital,Other,1-2,street,4,0,,
10,3GW1E8tsqh,single,Other,highschool,18.905222100000003,-70.74934240000002,32.0,female,1,San Pedro de Macoris,5-10,4-6AWeek,bottled,Y,cementPoor,working,Other Hospital,Clinic,Other,1-2,outside house,4,0,,
11,RajJ65fc9S,single,Other,highschool,18.915659442781926,-70.74131262247687,62.0,female,1,San Pedro de Macoris,moreThan10,1AWeek,bottled,Y,dirtWorking,working,Other,Other,Other,1-2,street,4,0,,
12,O7iYx90krp,married,Ama de casa,highschool,18.9063185,-70.7501045,34.0,female,1,San Pedro de Macoris,3-4,everyday,bottled,Y,cementPoor,working,Other,Other,Other,1-2,outside house,4,0,,
13,KccFyIxQJC,single,Ama de casa,someHighSchool,18.915332664146003,-70.74057986561746,23.0,female,1,San Pedro de Macoris,lessThan1,2-3AWeek,bottled,Y,dirtWorking,working,Other Hospital,Other,Water,1-2,street,4,0,,
14,SAEiO6tSlJ,concubine,Other,lessThanprimary,18.9031869,-70.7482554,41.0,female,1,San Pedro de Macoris,moreThan10,2-3AWeek,tap,Y,dirtPoor,poor,Other,Other,Delinquents,1-2,outside house,4,0,,
15,B1wK5USeq7,married,Ama de casa,highschool,18.9063254,-70.7499999,27.0,female,1,San Pedro de Macoris,1-2,2-3AWeek,bottled,Y,cementWorking,poor,Other,Other,Other,1-2,outside house,4,0,,
16,GEoANM3n9Y,single,Other,lessThanprimary,18.9065896,-70.7511702,44.0,female,1,San Pedro de Macoris,moreThan10,1AWeek,tap,Y,cementPoor,working,Other Hospital,Dentist,Other,1-2,other,4,0,,
17,APd9DjCZZ8,married,Ninguna,college,18.901333976554593,-70.75776329270634,30.0,female,1,San Pedro de Macoris,3-4,Never,bottled,Y,dirtWorking,working,Other,Other,Water,Unknown,other,4,0,,
18,SDsK4BRlDe,concubine,Other,lessThanprimary,18.9053839,-70.7503339,47.0,male,1,San Pedro de Macoris,3-4,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,outside house,4,0,,
19,RQ5aRGHKXu,widow,Ama de casa,primary,18.9051864,-70.7505792,72.0,female,1,San Pedro de Macoris,moreThan10,2-3AWeek,bottled,Y,cementPoor,poor,Other Hospital,Dentist,Other,1-2,other,4,0,,
20,7bF6YFxuIz,single,Ama de casa,primary,18.901360411377247,-70.75742881420675,61.0,female,1,San Pedro de Macoris,moreThan10,4-6AWeek,tap,Y,cementPoor,poor,Other Hospital,Other Hospital,Water,1-2,street,4,0,,
21,neoEkosSeM,single,Ninguna,highschool,18.901163656282147,-70.75772171846661,29.0,female,1,San Pedro de Macoris,5-10,1AMonth,bottled,Y,dirtWorking,working,Other Hospital,Other Hospital,Water,Unknown,street,4,0,,
22,DQN82bQNPI,single,Ama de casa,primary,18.9052828,-70.750225,28.0,female,1,San Pedro de Macoris,lessThan1,2-3AWeek,bottled,Y,cementWorking,poor,Clinic,Other Hospital,Other,1-2,outside house,4,0,,
23,FZwlRTaK8F,single,Ama de casa,highschool,18.901692219096144,-70.7582631894115,27.0,female,1,San Pedro de Macoris,moreThan10,2-3AWeek,bottled,Y,cementPoor,working,Other Hospital,Dentist,Water,1-2,street,4,0,,
24,eLmW6jI7S6,married,Ama de casa,lessThanprimary,18.90154867900433,-70.75813771232102,66.0,female,1,San Pedro de Macoris,5-10,2-3AWeek,bottled,Y,dirtWorking,working,Other Hospital,Other,Water,Unknown,outside house,4,0,,
25,UZ6q1Bjktz,concubine,Ama de casa,college,18.901581703702828,-70.75860793708894,26.0,female,1,San Pedro de Macoris,3-4,1AWeek,bottled,Y,dirtWorking,working,Other Hospital,Other Hospital,Water,1-2,street,4,0,,
26,Gl5VvFzJaD,single,Other,college,18.901613806391975,-70.758956959537,2.0,female,1,San Pedro de Macoris,1-2,2-3AWeek,bottled,Y,,,Clinic,Other Hospital,Water,Unknown,outside house,4,0,,
27,nYGqujwrX6,married,Other,college,18.9106198,-70.7478837,50.0,male,1,San Pedro de Macoris,moreThan10,4-6AWeek,bottled,Y,cementWorking,working,Clinic,Other,Other,1-2,other,4,0,,
28,OCdBbUeEwN,single,Ninguna,highschool,18.90202439391884,-70.7593422756258,28.0,female,1,San Pedro de Macoris,lessThan1,Never,bottled,Y,dirtWorking,working,Clinic,Clinic,Water,Unknown,outside house,4,0,,
29,0FfwWMlQ8z,married,Other,college,18.9109359,-70.7475121,50.0,male,1,San Pedro de Macoris,moreThan10,4-6AWeek,bottled,Y,cementWorking,working,Other,Other,Other,1-2,other,4,0,,
30,DFwdvyWcGG,single,Other,lessThanprimary,18.9053839,-70.7503339,55.0,male,1,San Pedro de Macoris,5-10,everyday,bottled,Y,cementPoor,poor,Other Hospital,Other Hospital,Roads,1-2,outside house,4,0,,
31,qe7QtNWbPu,single,Other,primary,18.9053547,-70.75039790000002,33.0,female,1,San Pedro de Macoris,1-2,everyday,bottled,Y,cementPoor,poor,Other Hospital,Dentist,Roads,1-2,outside house,4,0,,
32,8SbJkpm1HS,concubine,Other,someHighSchool,18.9052203,-70.7505523,24.0,female,1,San Pedro de Macoris,lessThan1,1AWeek,bottled,Y,cementWorking,working,Clinic,Dentist,Roads,1-2,other,4,0,,
33,Or5K0WKPm3,single,Ama de casa,college,18.9051807,-70.75059159999998,27.0,female,1,San Pedro de Macoris,1-2,everyday,bottled,Y,cementPoor,poor,Other,Dentist,Delinquents,1-2,outside house,4,0,,
34,94Syqn5HDk,widow,Other,primary,18.9100311,-70.74780600000003,65.0,female,1,San Pedro de Macoris,moreThan10,4-6AWeek,bottled,Y,cementPoor,working,Clinic,Clinic,Garbage,1-2,other,4,0,,
35,0R4Dn7PLkT,concubine,Ama de casa,lessThanprimary,18.9051864,-70.7505792,60.0,female,1,San Pedro de Macoris,5-10,everyday,tap,Y,cementPoor,poor,Clinic,Other,Roads,1-2,other,4,0,,
36,0R4Dn7PLkT,concubine,Ama de casa,lessThanprimary,18.9051864,-70.7505792,60.0,female,1,San Pedro de Macoris,5-10,1AWeek,tap,Y,cementWorking,working,Clinic,Other Hospital,Roads,1-2,street,2,1,rented,
37,bpoy1ufQmf,single,Ama de casa,lessThanprimary,18.9051864,-70.7505792,29.0,female,1,San Pedro de Macoris,5-10,2-3AWeek,bottled,Y,cementPoor,working,Other Hospital,Dentist,Roads,1-2,other,4,0,,
38,podEmwBg6G,single,Ama de casa,lessThanprimary,18.903121626953503,-70.7587362640265,57.0,female,1,San Pedro de Macoris,moreThan10,1AWeek,tap,Y,dirtWorking,working,Other,Dentist,Roads,Unknown,outside house,4,0,,
39,5Tv47EWCwt,concubine,Ama de casa,lessThanprimary,18.9051843,-70.750551,53.0,female,1,San Pedro de Macoris,lessThan1,2-3AWeek,bottled,Y,cementWorking,working,Other,Dentist,Other,1-2,other,4,0,,
40,4UPAxCvTvX,concubine,Ama de casa,lessThanprimary,18.9051984,-70.7503235,25.0,female,1,San Pedro de Macoris,5-10,everyday,bottled,Y,dirtPoor,poor,Clinic,Other Hospital,Roads,1-2,other,4,0,,
